Sym,Date,Open,High,Low,Close,Adj Close,Volume
SPY,1/2/18,267.839996,268.809998,267.399994,268.769989,243.072281,86655700
SPY,1/3/18,268.959991,270.640015,268.959991,270.470001,244.609741,90070400
SPY,1/4/18,271.200012,272.160004,270.540009,271.609985,245.640732,80636400
SPY,1/5/18,272.51001,273.559998,271.950012,273.420013,247.277756,83524000
SPY,1/8/18,273.309998,274.100006,272.980011,273.920013,247.729965,57319200
SPY,1/9/18,274.399994,275.25,274.079987,274.540009,248.290604,57254000
SPY,1/10/18,273.679993,274.420013,272.920013,274.119995,247.910721,69574300
SPY,1/11/18,274.75,276.119995,274.559998,276.119995,249.719498,62361500
SPY,1/12/18,276.420013,278.109985,276.079987,277.920013,251.347427,90816100
SPY,1/16/18,279.350006,280.089996,276.179993,276.970001,250.488205,106555100
SPY,1/17/18,278.029999,280.049988,276.970001,279.609985,252.87587,113258800
SPY,1/18/18,279.480011,279.959991,278.579987,279.140015,252.450821,100728000
SPY,1/19/18,279.799988,280.410004,279.140015,280.410004,253.599426,140920100
SPY,1/22/18,280.170013,282.690002,280.109985,282.690002,255.66127,91322400
SPY,1/23/18,282.73999,283.619995,282.369995,283.290009,256.204041,97084700
SPY,1/24/18,284.019989,284.700012,281.839996,283.179993,256.104492,134816100
SPY,1/25/18,284.160004,284.269989,282.399994,283.299988,256.213043,84587300
SPY,1/26/18,284.25,286.630005,283.959991,286.579987,259.179474,107743100
SPY,1/29/18,285.929993,286.429993,284.5,284.679993,257.460968,90118300
SPY,1/30/18,282.600006,284.73999,281.220001,281.76001,254.820251,131796400
SPY,1/31/18,282.730011,283.299988,280.679993,281.899994,254.946915,108364800
SPY,2/1/18,281.070007,283.059998,280.679993,281.579987,254.657455,90102500
SPY,2/2/18,280.079987,280.230011,275.410004,275.450012,249.113586,173174800
SPY,2/5/18,273.450012,275.850006,263.309998,263.929993,238.695053,294681800
SPY,2/6/18,259.940002,269.700012,258.700012,269.130005,243.397858,355026800
SPY,2/7/18,268.5,272.359985,267.579987,267.670013,242.077454,167376100
SPY,2/8/18,268.01001,268.170013,257.589996,257.630005,232.997375,246449500
SPY,2/9/18,260.799988,263.609985,252.919998,261.5,236.49733,283565300
SPY,2/12/18,263.829987,267.01001,261.660004,265.339996,239.970215,143736000
SPY,2/13/18,263.970001,266.619995,263.309998,266.0,240.567123,81223600
SPY,2/14/18,264.309998,270.0,264.299988,269.589996,243.813858,120735700
SPY,2/15/18,271.570007,273.040009,268.769989,273.029999,246.924942,111200300
SPY,2/16/18,272.320007,275.320007,272.269989,273.109985,246.997345,160420100
SPY,2/20/18,272.029999,273.670013,270.5,271.399994,245.450806,86369700
SPY,2/21/18,271.899994,274.720001,269.940002,270.049988,244.229858,98883700
SPY,2/22/18,271.100006,273.049988,269.640015,270.399994,244.546417,110511300
SPY,2/23/18,271.790009,274.709991,271.25,274.709991,248.444305,92766400
SPY,2/26/18,275.929993,278.01001,275.26001,277.899994,251.329285,86491400
SPY,2/27/18,278.109985,278.920013,274.359985,274.429993,248.191101,99099200
SPY,2/28/18,275.679993,276.190002,271.290009,271.649994,245.676926,121907800
SPY,3/1/18,271.410004,273.170013,266.0,267.700012,242.104599,176855100
SPY,3/2/18,265.799988,269.720001,264.820007,269.079987,243.352585,139083200
SPY,3/5/18,267.730011,272.890015,267.609985,272.190002,246.165253,97307400
SPY,3/6/18,273.299988,273.390015,271.179993,272.880005,246.789352,79213200
SPY,3/7/18,270.420013,273.179993,270.200012,272.779999,246.698883,87063500
SPY,3/8/18,273.549988,274.23999,272.420013,274.100006,247.892624,66901200
SPY,3/9/18,275.700012,278.869995,275.339996,278.869995,252.206543,113625300
SPY,3/12/18,279.200012,279.910004,278.079987,278.519989,251.890106,71924800
SPY,3/13/18,279.839996,280.410004,276.029999,276.720001,250.262207,91968900
SPY,3/14/18,277.809998,278.019989,274.670013,275.299988,248.97789,105895100
SPY,3/15/18,275.880005,276.609985,274.429993,275.0,248.706573,83433000
SPY,3/16/18,274.5,275.390015,274.140015,274.200012,248.976349,100343700
SPY,3/19/18,273.350006,274.399994,268.619995,270.48999,245.607574,109208400
SPY,3/20/18,270.940002,271.670013,270.179993,270.950012,246.025223,59757300
SPY,3/21/18,270.899994,273.269989,270.190002,270.429993,245.553131,78709600
SPY,3/22/18,267.910004,268.869995,263.359985,263.670013,239.414963,148785900
SPY,3/23/18,264.170013,264.540009,257.829987,258.049988,234.31189,183534800
SPY,3/26/18,262.130005,265.429993,259.410004,265.109985,240.722458,141956100
SPY,3/27/18,266.170013,266.769989,258.839996,260.600006,236.627365,129941400
SPY,3/28/18,260.75,262.640015,258.579987,259.829987,235.928177,146452300
SPY,3/29/18,261.119995,265.26001,259.839996,263.149994,238.942795,111601600
SPY,4/2/18,262.549988,263.130005,254.669998,257.470001,233.785248,186286300
SPY,4/3/18,258.869995,261.309998,256.839996,260.769989,236.781723,119956900
