Date,SPY,CBSH,CSTM,IWM,META,MSFT,PWR,QQQ,SRE,TSLA
2018-01-02,243.072281,43.791382,11.45,142.35112,181.419998,80.229004,38.584988,152.072769,36.394047,21.368668
2018-01-03,244.609741,43.611351,11.65,142.49913,184.669998,80.602371,38.88982,153.550415,37.35788,21.15
2018-01-04,245.640732,43.564407,11.95,142.878372,184.330002,81.311806,39.194633,153.819077,37.109146,20.974667
2018-01-05,247.277756,43.900959,11.8,143.174377,186.850006,82.319908,38.850483,155.363892,37.46497,21.105333
2018-01-08,247.729965,43.619186,11.85,143.396408,188.279999,82.403931,38.447323,155.968353,37.475334,22.427334
2018-01-09,248.290604,44.206207,11.75,143.202118,187.869995,82.347923,37.994999,155.977966,37.178234,22.246
2018-01-10,247.910721,44.887142,11.75,143.220627,187.839996,81.974533,37.503349,155.613373,37.029697,22.32
2018-01-11,249.719498,45.442852,12.4,145.681,187.770004,82.217262,38.417828,156.678421,36.860416,22.530001
2018-01-12,251.347427,45.356747,12.35,146.291519,179.369995,83.63607,38.781643,157.829834,36.926052,22.414667
2018-01-16,250.488205,45.239357,12.15,144.423065,178.389999,82.469276,38.044163,157.378891,36.984787,22.670668
2018-01-17,252.87587,45.521122,12.45,145.792023,177.600006,84.140129,38.083496,159.077225,36.822407,23.143999
2018-01-18,252.450821,45.732445,13.25,144.79306,179.800003,84.102783,37.886833,159.105972,36.6255,22.971333
2018-01-19,253.599426,46.734287,13.05,146.698502,181.289993,84.00943,38.339161,159.604904,36.615147,23.334667
2018-01-22,255.66127,46.31163,13,147.484726,185.369995,85.512268,38.437489,161.312866,36.290401,23.437332
2018-01-23,256.204041,46.241192,13.05,147.956482,189.350006,85.782959,38.221157,162.646561,36.694595,23.519333
2018-01-24,256.104492,46.139446,13.35,147.04071,186.550003,85.70829,38.3195,161.591141,36.508053,23.059334
2018-01-25,256.213043,46.108143,13.15,147.096237,187.479996,86.184334,38.240818,161.533524,36.756775,22.509333
2018-01-26,259.179474,46.17857,13.05,147.623459,190,87.799179,38.486656,164.009094,36.45623,22.856667
2018-01-29,257.460968,46.061184,12.9,146.790985,185.979996,87.66851,38.221157,163.212662,36.083134,23.302
2018-01-30,254.820251,46.029873,12.75,145.38501,187.119995,86.567039,37.75901,161.869385,36.559868,23.054667
2018-01-31,254.946915,45.795071,12.85,144.626587,186.889999,88.685959,37.847496,162.541046,36.970963,23.620667
2018-02-01,254.657455,46.194237,13.95,145.079788,193.089996,87.985893,37.621338,161.159378,36.801678,23.283333
2018-02-02,249.113586,45.998566,13.1,142.286453,190.279999,85.670959,35.487576,157.944946,36.473507,22.916668
2018-02-05,238.695053,44.41753,12.7,136.819916,181.259995,82.142563,33.825783,151.717728,36.01405,22.208668
2018-02-06,243.397858,44.550587,12.95,138.457153,185.309998,85.2509,34.592758,155.738098,35.720398,22.264668
2018-02-07,242.077454,44.981068,12.95,138.595825,180.179993,83.645386,33.874943,153.723099,35.958767,23
2018-02-08,232.997375,43.791382,12.25,134.525986,171.580002,79.351585,32.95063,147.236801,35.706581,21.015333
2018-02-09,236.49733,44.527119,12,135.75621,176.110001,82.310577,32.970299,149.779556,36.656597,20.694668
2018-02-12,239.970215,44.761921,12.35,137.041916,176.410004,83.197334,33.412788,152.437332,36.832787,21.048668
2018-02-13,240.567123,45.020195,12.15,137.337845,173.149994,83.850754,33.157131,153.224182,36.898422,21.577333
2018-02-14,243.813858,46.092487,12.65,139.80751,179.520004,85.163712,33.85527,156.09314,36.435501,21.487333
2018-02-15,246.924942,46.217716,12.7,141.333679,179.960007,86.898674,34.248604,158.99086,37.302601,22.271334
2018-02-16,246.997345,46.280327,12.8,141.833176,177.360001,86.279709,34.484589,158.280823,37.658428,22.365999
2018-02-20,245.450806,45.68549,12.65,140.66774,176.009995,86.954956,34.3666,158.597397,37.150597,22.318001
2018-02-21,244.229858,46.076836,12.2,140.815765,177.910004,85.801414,34.258438,158.146469,36.421688,22.219999
2018-02-22,244.546417,45.317627,12.9,140.593735,178.990005,86.026505,35.300743,158.127289,36.839687,23.077999
2018-02-23,248.444305,45.920292,13.05,142.425156,183.289993,88.211624,35.074581,161.360794,37.851871,23.469999
2018-02-26,251.329285,45.98291,12.5,143.359375,184.929993,89.487068,35.064743,163.500534,37.83115,23.827999
2018-02-27,248.191101,45.904636,12,141.296661,181.460007,88.342918,34.455093,161.475967,38.014252,23.399332
2018-02-28,245.676926,45.215874,11.6,139.06752,178.320007,87.939651,33.86512,160.439682,37.64806,22.870667
2018-03-01,242.104599,45.26284,11.65,138.697586,175.940002,87.076851,33.294792,157.82019,37.185143,22.062
2018-03-02,243.352585,45.967258,11.75,140.917511,176.619995,87.264427,33.668449,159.269089,36.995144,22.341333
2018-03-05,246.165253,46.499489,11.85,142.175476,180.399994,87.817726,33.648773,161.034592,38.2388,22.223333
2018-03-06,246.789352,47.1726,12.2,143.710861,179.779999,87.517624,34.101101,161.715836,37.779335,21.879999
2018-03-07,246.698883,47.430882,12.15,144.978073,183.710007,88.024071,34.582916,162.090027,37.502979,22.153334
2018-03-08,247.892624,47.018372,12.1,144.682037,182.339996,88.558609,34.582916,162.982422,37.927887,21.940001
2018-03-09,252.206543,47.921967,12.15,146.994431,185.229996,90.53743,35.389244,166.148788,37.682606,21.811333
2018-03-12,251.890106,48.134113,11.9,147.253448,184.759995,90.75312,35.359749,167.03154,37.914063,23.034
2018-03-13,250.262207,48.016251,11.85,146.569016,181.880005,88.539886,34.86808,164.757523,38.242245,22.789333
2018-03-14,248.97789,47.607674,11.55,145.875305,184.190002,88.014694,34.484589,164.728699,38.988441,21.775333
2018-03-15,248.706573,48.039822,11.6,145.144547,183.860001,88.324165,34.415764,164.584793,38.760441,21.706667
2018-03-16,248.976349,48.314835,11.9,145.958496,185.089996,88.718056,34.769753,164.095428,39.043716,21.423332
2018-03-19,245.607574,48.055538,11.8,144.552551,172.559998,87.114372,34.356762,160.594284,38.83989,20.903999
2018-03-20,246.025223,48.04768,11.8,144.515579,168.149994,87.339447,34.514095,161.122833,38.207703,20.703333
2018-03-21,245.553131,48.196964,12,145.3573,169.389999,86.729851,35.222073,160.421265,38.142071,21.101999
2018-03-22,239.414963,47.293377,11.4,142.169968,164.889999,84.207123,33.815941,156.461685,38.805744,20.606667
2018-03-23,234.31189,45.721905,10.65,139.11055,159.389999,81.759407,32.65564,152.338715,38.264977,20.102667
2018-03-26,240.722458,46.97908,10.85,142.151398,160.059998,87.94902,33.67828,157.999405,38.619633,20.278667
2018-03-27,236.627365,46.138351,10.65,139.397934,152.220001,83.907013,33.432461,152.886536,39.041016,18.612
2018-03-28,235.928177,46.52335,10.3,139.351547,153.029999,83.831985,33.304619,151.127762,38.742535,17.185333
2018-03-29,238.942795,47.073368,10.85,140.760773,159.789993,85.595093,33.776608,153.895645,39.055065,17.742001
2018-04-02,233.785248,45.926208,10.45,137.330521,155.389999,83.016106,32.970299,149.455505,38.672306,16.832001
2018-04-03,236.781723,46.625519,10.5,139.295959,156.110001,84.13208,33.599609,151.137375,38.408936,17.835333
2018-04-04,239.315079,47.010509,10.55,141.066696,155.100006,86.589211,33.933941,153.520798,38.74604,19.129333
2018-04-05,241.203705,47.426956,11.1,142.234833,159.339996,86.636101,34.022446,154.395355,39.163914,20.381332
2018-04-06,235.828308,46.319065,11.05,139.397934,157.199997,84.619766,33.157131,150.531906,39.023457,19.953333
2018-04-09,236.99054,46.279781,11.3,139.56485,157.929993,85.126183,32.901466,151.589096,39.251709,19.310667
2018-04-10,240.758774,47.104809,11.6,142.197769,165.039993,87.104988,33.599609,154.933578,39.216595,20.313334
2018-04-11,239.496689,46.656925,11.6,142.503677,166.320007,86.148422,33.412788,154.039795,38.974289,20.062
2018-04-12,241.467026,49.611298,11.75,143.477173,163.869995,87.761467,33.737286,155.894653,38.72147,19.605333
2018-04-13,240.758774,49.296989,11.8,142.726196,164.520004,87.292549,33.579956,155.087326,38.844368,20.022667
